datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal,secchi_m,tp_ugL,Water_Temp_filled,DO_filled,poc
2016-03-21 16:00:00,6.30570370370373,288.034637037037,294.350814814815,56.0642090470569,4.65392826270897,0.0,98584.5751111111,1.94754098360656,80.8913192071087,4.54707317073171,15.1378048780488,1.62086602933508
2016-03-21 17:00:00,5.86725925925929,156.8704,294.350814814815,58.9243098189971,4.36254420376594,0.0,98390.7447407407,1.94535519125683,80.892002734108,4.35033333333333,14.8268333333333,1.7747436978603
2016-03-21 18:00:00,5.42725925925926,10.9150814814815,257.913481481482,61.9162924912228,4.43148209992628,0.0,98197.2751111111,1.9431693989071,80.8926862611073,4.32533333333333,14.7026666666667,1.77431870936434
2016-03-21 19:00:00,4.67437037037038,0.0,257.913481481482,64.9057127576211,4.48638804485605,0.0,98251.1351111111,1.94098360655738,80.8933697881066,4.30133333333333,14.545,1.78733799196808
2016-03-21 20:00:00,3.92059259259261,0.0,257.913481481482,68.0632887995624,4.55450828662838,0.0,98304.8757037037,1.93879781420765,80.8940533151059,4.2875,14.458,1.80437578486191
2016-03-21 21:00:00,3.16014814814818,0.0,266.430222222222,71.4261289132828,4.63952218382439,0.0,98358.7158518518,1.93661202185792,80.8947368421053,4.27183333333333,14.3906666666667,1.81902160289877
2016-03-21 22:00:00,2.93400000000002,0.0,266.430222222222,73.1699963938128,4.9094373128284,0.0,98285.2157037037,1.9344262295082,80.8954203691046,4.26783333333333,14.3308333333333,1.82769045910386
2016-03-21 23:00:00,2.70977777777779,0.0,266.430222222222,74.9396650268553,5.18936380090741,0.0,98211.8957037037,1.93224043715847,80.8961038961039,4.2575,14.28,1.83832882238612
2016-03-22,2.47837037037038,0.0,263.740740740741,76.7888440271944,5.4605826036098,0.0,98138.4757037037,1.93005464480874,80.8967874231032,4.2485,14.2401666666667,1.85271257435058
2016-03-22 01:00:00,2.16281481481484,0.0,263.740740740741,79.1851933209401,5.19618204197272,0.0,97970.0117037037,1.92786885245902,80.8974709501025,4.24166666666667,14.2028333333333,1.85846272863942
2016-03-22 02:00:00,1.85007407407409,0.0,263.739185185185,81.6322997098838,5.01171946014294,0.0,97801.2016296296,1.92568306010929,80.8981544771018,4.22983333333333,14.1466666666667,1.87261178913249
2016-03-22 03:00:00,1.53488888888891,0.0,249.61562962963,84.172885988729,4.91926485627366,0.0,97632.310962963,1.92349726775956,80.8988380041012,4.22183333333333,14.0976666666667,1.87327535445196
2016-03-22 04:00:00,1.25051851851854,0.0,249.61562962963,86.0516911391215,4.68504983361795,0.0,97587.5980740741,1.92131147540984,80.8995215311005,4.21216666666667,14.0516666666667,1.87678583799571
2016-03-22 05:00:00,0.960740740740761,0.0,249.61562962963,88.0180674065127,4.45518104453577,0.0,97543.0885925926,1.91912568306011,80.9002050580998,4.20216666666667,14.021,1.90118746692578
2016-03-22 06:00:00,0.67725925925928,0.0,268.293407407407,89.9903814291916,4.2288834828625,0.0,97498.3188148148,1.91693989071038,80.9008885850991,4.193,13.9776666666667,1.92025263276109
2016-03-22 07:00:00,2.50311111111114,118.192177777778,268.294962962963,83.6467359984061,4.53346630914975,0.0,97487.908,1.91475409836066,80.9015721120984,4.195,13.9626666666667,1.90625749153771
2016-03-22 08:00:00,4.3380740740741,233.0432,268.295851851852,77.6035767574283,4.85417195233844,0.0,97477.6768888889,1.91256830601093,80.9022556390977,4.20583333333333,13.9973333333333,1.93146577539899
2016-03-22 09:00:00,6.16392592592595,383.619733333333,313.990740740741,71.9660729413198,5.19592421573601,0.0,97467.5125925926,1.9103825136612,80.9029391660971,4.21933333333333,14.0265,1.94313644985408
